Date,Summary,Aircraft type,Operator,Passengers,Crew,Fatalities,Injuries,Survivors,Name,Year,Link,Location,Latitude,Longitude,Onboard,Death Rate,Injury Rate
12 May 1902 (1902-05-12),Explosion of an experimental airship due the proximity of the gasoline engine to the hydrogen envelope,Airship,,,2.0,2.0,,,Pax airship disaster,1902,https://en.wikipedia.org/wiki/Pax_airship_disaster,,,,2.0,1.0,0.0
"January 28 – February 14, 1902 (1902-01-28 – 1902-02-14)",,,,,,,,,,1902,https://en.wikipedia.org/wiki/Santos_Dumont%27s_experiments_in_Monaco,,,,0.0,0.0,0.0
13 May 1912,Pilot error,Flanders F.3,,1.0,1.0,2.0,,0.0,1912 Brooklands Flanders Monoplane crash,1912,https://en.wikipedia.org/wiki/1912_Brooklands_Flanders_Monoplane_crash,,,,2.0,1.0,0.0
9 September 1913,Weather,Airship,Imperial German Navy,,20.0,14.0,,6.0,Helgoland Island air disaster,1913,https://en.wikipedia.org/wiki/Helgoland_Island_air_disaster,North Sea,56.0026997,2.8144672799047834,20.0,0.7,0.0
17 October 1913,In-flight explosion,Airship,Imperial German Navy,,28.0,28.0,,0.0,Johannisthal air disaster,1913,https://en.wikipedia.org/wiki/Johannisthal_air_disaster,Johannisthal Air Field,,,28.0,1.0,0.0
19 August 1918,Wing Failure,Handley Page O/400,Royal Air Force,1.0,6.0,7.0,0.0,0.0,Maxstoke air crash,1918,https://en.wikipedia.org/wiki/Maxstoke_air_crash,Maxstoke,52.4792815,-1.6547239,7.0,1.0,0.0
15 July 1919 (1919-07-15),Lightning strike (suspected),NS class airship,Royal Air Force,,9.0,9.0,0.0,0.0,Airship NS11 crash,1919,https://en.wikipedia.org/wiki/Airship_N.S.11_crash,North Sea,52.951,1.043,9.0,1.0,0.0
"August 2, 1919 (1919-08-02)",Possible structural failure,Caproni Ca.48,Caproni,12.0,2.0,14.0,,0.0,1919 Verona Caproni Ca.48 crash,1919,https://en.wikipedia.org/wiki/1919_Verona_Caproni_Ca.48_crash,Verona,45.396389,10.888056,14.0,1.0,0.0
14 December 1920 (1920-12-14),Controlled flight into terrain for unknown reasons,Handley Page O/400,Handley Page Transport,6.0,2.0,4.0,,4.0,1920 Golders Green Handley Page O/400 crash,1920,https://en.wikipedia.org/wiki/1920_Golders_Green_Handley_Page_O/400_crash,Golders Green,51.570417,-0.2030750,8.0,0.5,0.0
31 March 1922,Crashed on landing,Handley Page O/7,Beijing-Han Airlines (operated by the Chinese Government),,,14.0,,0.0,1922 Beijing-Han Airlines crash,1922,https://en.wikipedia.org/wiki/1922_Beijing-Han_Airlines_crash,Beijing Nanyuan Airport,39.78215945,116.38767501732069,0.0,0.0,0.0
