,local_file,year,link-in-year,acciname,accihref,GR13_comment
0,1990--1.html,1990,1,Aviation accidents and incidents in the United States in 1990,/wiki/Category:Aviation_accidents_and_incidents_in_the_United_States_in_1990,"for now, no comments"
1,1990--2.html,1990,2,Victims of aviation accidents or incidents in 1990,/wiki/Category:Victims_of_aviation_accidents_or_incidents_in_1990,"for now, no comments"
2,1990--3.html,1990,3,This list may not reflect recent changes,/wiki/Wikipedia:FAQ/Categorization#Why_might_a_category_list_not_be_up_to_date?,"for now, no comments"
3,1990--4.html,1990,4,List of accidents and incidents involving military aircraft (1990–1999),/wiki/List_of_accidents_and_incidents_involving_military_aircraft_(1990%E2%80%931999),"for now, no comments"
4,1991--1.html,1991,1,1991 Jakarta Indonesian Air Force C-130 crash,/wiki/1991_Jakarta_Indonesian_Air_Force_C-130_crash,"for now, no comments"
5,1991--2.html,1991,2,1991 Navoiy Aeroflot Antonov An-24 crash,/wiki/1991_Navoiy_Aeroflot_Antonov_An-24_crash,"for now, no comments"
6,1991--3.html,1991,3,1991 RAAF Boeing 707 crash,/wiki/1991_RAAF_Boeing_707_crash,"for now, no comments"
7,1991--4.html,1991,4,Aeropostal Alas de Venezuela Flight 108,/wiki/Aeropostal_Alas_de_Venezuela_Flight_108,"for now, no comments"
8,1991--5.html,1991,5,1991 Azerbaijani Mil Mi-8 shootdown,/wiki/1991_Azerbaijani_Mil_Mi-8_shootdown,"for now, no comments"
9,1991--6.html,1991,6,1991 British Army Lynx shootdown,/wiki/1991_British_Army_Lynx_shootdown,"for now, no comments"
10,1991--7.html,1991,7,China Airlines Flight 358,/wiki/China_Airlines_Flight_358,"for now, no comments"
11,1991--8.html,1991,8,Indian Airlines Flight 257,/wiki/Indian_Airlines_Flight_257,"for now, no comments"
12,1991--9.html,1991,9,L'Express Airlines Flight 508,/wiki/L%27Express_Airlines_Flight_508,"for now, no comments"
13,1991--10.html,1991,10,LAN-Chile Flight 1069,/wiki/LAN-Chile_Flight_1069,"for now, no comments"
14,1991--11.html,1991,11,Lauda Air Flight 004,/wiki/Lauda_Air_Flight_004,"for now, no comments"
15,1991--12.html,1991,12,Los Angeles runway disaster,/wiki/Los_Angeles_runway_disaster,"for now, no comments"
16,1991--13.html,1991,13,Nigeria Airways Flight 2120,/wiki/Nigeria_Airways_Flight_2120,"for now, no comments"
17,1991--14.html,1991,14,Scandinavian Airlines System Flight 751,/wiki/Scandinavian_Airlines_System_Flight_751,"for now, no comments"
18,1991--15.html,1991,15,Singapore Airlines Flight 117,/wiki/Singapore_Airlines_Flight_117,"for now, no comments"
19,1991--16.html,1991,16,Yugavia Flight S-519,/wiki/Yugavia_Flight_S-519,"for now, no comments"
20,1992--1.html,1992,1,1992 Russian Air Force Mi-8 shootdown,/wiki/1992_Russian_Air_Force_Mi-8_shootdown,"for now, no comments"
21,1992--2.html,1992,2,Aerolíneas Argentinas Flight 386,/wiki/Aerol%C3%ADneas_Argentinas_Flight_386,"for now, no comments"
22,1992--3.html,1992,3,Air Inter Flight 148,/wiki/Air_Inter_Flight_148,"for now, no comments"
23,1992--4.html,1992,4,American Eagle Flight 5456,/wiki/American_Eagle_Flight_5456,"for now, no comments"
24,1992--5.html,1992,5,1992 Azerbaijani Mil Mi-8 shootdown,/wiki/1992_Azerbaijani_Mil_Mi-8_shootdown,"for now, no comments"
25,1992--6.html,1992,6,China General Aviation Flight 7552,/wiki/China_General_Aviation_Flight_7552,"for now, no comments"
26,1992--7.html,1992,7,China Southern Airlines Flight 3943,/wiki/China_Southern_Airlines_Flight_3943,"for now, no comments"
27,1992--8.html,1992,8,Copa Airlines Flight 201,/wiki/Copa_Airlines_Flight_201,"for now, no comments"
28,1992--9.html,1992,9,Delta Air Lines Flight 1581,/wiki/Delta_Air_Lines_Flight_1581,"for now, no comments"
29,1992--10.html,1992,10,El Al Flight 1862,/wiki/El_Al_Flight_1862,"for now, no comments"
30,1992--11.html,1992,11,1992 European Community Monitor Mission helicopter downing,/wiki/1992_European_Community_Monitor_Mission_helicopter_downing,"for now, no comments"
31,1992--12.html,1992,12,Libyan Arab Airlines Flight 1103,/wiki/Libyan_Arab_Airlines_Flight_1103,"for now, no comments"
32,1992--13.html,1992,13,Mandala Airlines Flight 660,/wiki/Mandala_Airlines_Flight_660,"for now, no comments"
33,1992--14.html,1992,14,Martinair Flight 495,/wiki/Martinair_Flight_495,"for now, no comments"
34,1992--15.html,1992,15,Merpati Nusantara Airlines Flight 5601,/wiki/Merpati_Nusantara_Airlines_Flight_5601,"for now, no comments"
35,1992--16.html,1992,16,1992 Nigerian Air Force C-130 crash,/wiki/1992_Nigerian_Air_Force_C-130_crash,"for now, no comments"
36,1992--17.html,1992,17,Pakistan International Airlines Flight 268,/wiki/Pakistan_International_Airlines_Flight_268,"for now, no comments"
37,1992--18.html,1992,18,Thai Airways International Flight 311,/wiki/Thai_Airways_International_Flight_311,"for now, no comments"
38,1992--19.html,1992,19,Trans-Air Service Flight 671,/wiki/Trans-Air_Service_Flight_671,"for now, no comments"
39,1992--20.html,1992,20,Vietnam Airlines Flight 474,/wiki/Vietnam_Airlines_Flight_474,"for now, no comments"
