Title,URL
ABC (The Jackson 5 song),https://en.wikipedia.org/wiki/ABC_(The_Jackson_5_song)
About Damn Time,https://en.wikipedia.org/wiki/About_Damn_Time
Abracadabra (Steve Miller Band song),https://en.wikipedia.org/wiki/Abracadabra_(Steve_Miller_Band_song)
Addicted to Love (song),https://en.wikipedia.org/wiki/Addicted_to_Love_(song)
Africa (Toto song),https://en.wikipedia.org/wiki/Africa_(Toto_song)
Afternoon Delight,https://en.wikipedia.org/wiki/Afternoon_Delight
Again (Janet Jackson song),https://en.wikipedia.org/wiki/Again_(Janet_Jackson_song)
Against All Odds (Take a Look at Me Now),https://en.wikipedia.org/wiki/Against_All_Odds_(Take_a_Look_at_Me_Now)
Ain't It Funny (Murder Remix),https://en.wikipedia.org/wiki/Ain%27t_It_Funny_(Murder_Remix)
Ain't No Mountain High Enough,https://en.wikipedia.org/wiki/Ain%27t_No_Mountain_High_Enough
All 4 Love,https://en.wikipedia.org/wiki/All_4_Love
All About That Bass,https://en.wikipedia.org/wiki/All_About_That_Bass
All for Love (song),https://en.wikipedia.org/wiki/All_for_Love_(song)
All for You (Janet Jackson song),https://en.wikipedia.org/wiki/All_for_You_(Janet_Jackson_song)
All I Have (song),https://en.wikipedia.org/wiki/All_I_Have_(song)
All I Want for Christmas Is You,https://en.wikipedia.org/wiki/All_I_Want_for_Christmas_Is_You
All My Life (K-Ci & JoJo song),https://en.wikipedia.org/wiki/All_My_Life_(K-Ci_%26_JoJo_song)
All Night Long (All Night),https://en.wikipedia.org/wiki/All_Night_Long_(All_Night)
All of Me (John Legend song),https://en.wikipedia.org/wiki/All_of_Me_(John_Legend_song)
All the Man That I Need,https://en.wikipedia.org/wiki/All_the_Man_That_I_Need
All Too Well,https://en.wikipedia.org/wiki/All_Too_Well
All You Need Is Love,https://en.wikipedia.org/wiki/All_You_Need_Is_Love
Alley Oop (song),https://en.wikipedia.org/wiki/Alley_Oop_(song)
Alone (i-Ten song),https://en.wikipedia.org/wiki/Alone_(i-Ten_song)
Alone Again (Naturally),https://en.wikipedia.org/wiki/Alone_Again_(Naturally)
Always (Atlantic Starr song),https://en.wikipedia.org/wiki/Always_(Atlantic_Starr_song)
Always Be My Baby,https://en.wikipedia.org/wiki/Always_Be_My_Baby
Always on Time,https://en.wikipedia.org/wiki/Always_on_Time
Amanda (Boston song),https://en.wikipedia.org/wiki/Amanda_(Boston_song)
Amazed,https://en.wikipedia.org/wiki/Amazed
American Pie (song),https://en.wikipedia.org/wiki/American_Pie_(song)
American Woman,https://en.wikipedia.org/wiki/American_Woman
L'amour est bleu,https://en.wikipedia.org/wiki/L%27amour_est_bleu
Angel (Shaggy song),https://en.wikipedia.org/wiki/Angel_(Shaggy_song)
Angel of Mine,https://en.wikipedia.org/wiki/Angel_of_Mine
Angie (song),https://en.wikipedia.org/wiki/Angie_(song)
