Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
21 Questions,"50 Cent, Nate Dogg","March 4, 2003","Hip hop, R&B",3:44,"Interscope, Shady, Aftermath","Curtis Jackson, Nick Corrado, Kevin Risto, Jimmy Cameron, Vela M, Cameron",Dirty Swift,,,04 03 2003
3,Britney Spears,"September 29, 2009","Electropop, dance-pop",3:33,Jive,,"Max Martin, Shellback",Max Martin,"Max Martin, Karl Schuster, Tiffany Amber",29 09 2009
4 Seasons of Loneliness,Boyz II Men,"September 8, 1997",,4:52,Motown,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis,,,08 09 1997
50 Ways to Leave Your Lover,Paul Simon,December 1975,,3:35,"Columbia, ",Paul Simon,"Paul Simon, Phil Ramone",,,December 1975
7 Rings,Ariana Grande,"January 18, 2019","Trap, -, pop, hip hop, R&B",2:58,Republic,"Ariana Grande, Victoria Monét, Tayla Parx, Tommy Brown, Charles Anderson, Michael Foster, Njomza Vitia, Kimberly Krysiuk, Richard Rodgers, Oscar Hammerstein II","Tommy Brown, Charles Anderson, Michael Foster",,,18 01 2019
96 Tears,? and the Mysterians,August 1966,"Garage rock, pop rock, psychedelic rock",2:56,"Pa-Go-Go, Cameo-Parkway",Rudy Martinez,Rudy Martinez,,,August 1966
9 to 5,Dolly Parton,"November 3, 1980","Country pop, disco",2:43,RCA Nashville,Dolly Parton,Gregg Perry,,,03 11 1980
9 to 5,Sheena Easton,16 May 1980,Pop,3:20,"EMI, (original), RT Industries (current)",Florrie Palmer,Christopher Neil,,,16 May 1980
ABC,The Jackson 5,"February 24, 1970","Bubblegum, -, soul",3:11,"Motown, M 1163","The Corporation, Berry Gordy, Freddie Perren, Alphonzo Mizell, Deke Richards",The Corporation,,,24 02 1970
About Damn Time,Lizzo,"April 14, 2022","Funk-pop, nu-disco",3:11,"Nice Life, Atlantic","Blake Slatkin, Eric Frederic, Larry Price, Malcolm McLaren, Melissa Jefferson, Ronald Larkins, Stephen Hague, Theron Makiel Thomas","Blake Slatkin, Ricky Reed",,,14 04 2022
Abracadabra,Steve Miller Band,May 1982,"Pop rock, electronic rock, funk rock",5:08,"Capitol, (US/Canada), Mercury, (international)",Steve Miller,"Steve Miller, Gary Mallaber",,,May 1982
Addicted to Love,Robert Palmer,January 1986,Dance-rock,6:03,Island,Robert Palmer,Bernard Edwards,,,January 1986
Africa,Toto,"June 25, 1982","Pop, synth-pop, soft rock, yacht rock",4:55,Columbia,,Toto,David Paich,"David Paich, Jeff Porcaro",25 06 1982
Afternoon Delight,Starland Vocal Band,April 1976,"Soft rock, country rock, folk-pop",3:12,"Windsong, (US), Windlands International (UK & Canada)",Bill Danoff,Milt Okun,,,April 1976
Against All Odds,Phil Collins,February 1984,"Pop rock, soft rock",3:23,Atlantic,Phil Collins,Arif Mardin,,,February 1984
Again,Janet Jackson,"October 12, 1993",Pop,3:47,Virgin,"Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson",,,12 10 1993
Ain't It Funny,"Jennifer Lopez, Ja Rule","January 7, 2002","Hip hop, R&B",3:54,Epic,"Jennifer Lopez, Cory Rooney, Irving Lorenzo, Jeffrey Atkins, Tiheem Crocker, Ashanti Douglas, Craig Mack","Irv Gotti, 7, Cory Rooney",,,07 01 2002
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell","April 20, 1967","Pop, soul",2:28,"Tamla, (T-54149)","Nickolas Ashford, Valerie Simpson","Harvey Fuqua, Johnny Bristol",,,20 04 1967
Alley Oop,the Hollywood Argyles,May 1960,"Rock and roll, doo-wop, novelty",2:36,Lute 5905,Dallas Frazier,"Gary S. Paxton, Kim Fowley",,,May 1960
All 4 Love,Color Me Badd,"July 22, 1991",New jack swing,3:30,"Giant, Reprise","Bryan Abrams, Mark Calderon, Steve Cropper, Isaac Hayes, Howard Thompson, Kevin Thornton, Sam Watters",Howie Tee,,,22 07 1991
All About That Bass,Meghan Trainor,"June 30, 2014","Bubblegum pop, doo-wop, pop rap",3:07,Epic,"Meghan Trainor, Kevin Kadish",Kevin Kadish,,,30 06 2014
