Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
Hollaback Girl,Gwen Stefani,"March 22, 2005",Hip hop,3:19,Interscope,"Gwen Stefani
Pharrell Williams
Chad Hugo",The Neptunes,,
Let Me Love You (Mario song),Mario,"October 4, 2004",R&B,4:09,J,Scott StorchKameron HouffShaffer Smith,Scott Storch,,
Bodak Yellow,Cardi B,"June 16, 2017",Hip hoptrap,3:43,"Atlantic
KSR",Belcalis AlmánzarDieuson OctaveKlenord RaphaelJorden ThorpeAnthony WhiteLaquan Green,J. White Did ItLaquan Green,,
The Reflex,Duran Duran,16 April 1984,"Dance-pop
synth-pop
new wave
funk",4:25,"EMI
Capitol","Simon Le Bon
John Taylor
Roger Taylor
Andy Taylor
Nick Rhodes","Duran Duran
Alex Sadkin
Ian Little",,
Say Say Say,"Paul McCartney, Michael Jackson",3 October 1983,"Post-disco
synth-funk
funk-pop
rock",5:40,"Parlophone 
Columbia","Paul McCartney
Michael Jackson",George Martin,,
MMMBop,Hanson,"April 15, 1997","Pop rock
teen pop",3:58,Mercury,"Isaac Hanson
Taylor Hanson
Zac Hanson","Dust Brothers
Stephen Lironi",,
Every Rose Has Its Thorn,Poison,1988,"Glam metal
hard rock
acoustic rock
country rock",4:20,Capitol,"Bret Michaels
C.C. DeVille
Bobby Dall
Rikki Rockett",Tom Werman,,
Grazing in the Grass,Hugh Masekela,May 1968,Jazz,2:55,Uni,Philemon Hou,Stewart Levine,,
You Haven't Done Nothin',Stevie Wonder,"August 7, 1974",Funk rock,3:29,Tamla Motown,Stevie Wonder,,,
One Sweet Day,"Mariah Carey, Boyz II Men","November 14, 1995","Pop
R&B",4:42,Columbia,,"Walter Afanasieff
Mariah Carey","Mariah Carey
Michael McCary
Nathan Morris
Wanya Morris
Shawn Stockman",Mariah CareyWalter Afanasieff
California Love,"2Pac, Dr. Dre, Roger Troutman","December 3, 1995","West Coast hip hop
gangsta rap
G-funk",6:29,"Death Row
Interscope","Tupac Shakur
Andre Young
Roger Troutman
Larry Troutman
Mikel Hooks
Norman Durham
Ronald Hudson
Woody Cunningham
Joe Cocker
Chris Stainton
James Anderson (uncredited)[4][5]",Dr. Dre,,
This Is America (song),Childish Gambino,"May 6, 2018",Hip hopAfrobeatstrap,3:45,mcDJRCA,Donald GloverLudwig GöranssonJeffery Lamar Williams[3],Donald GloverLudwig Göransson,,
Get Off of My Cloud,the Rolling Stones,"24 September 1965  
22 October 1965",Blues rock,2:55,"London [4]
Decca",Jagger–Richards[4],Andrew Loog Oldham[4],,
Disco Duck,Rick Dees,"September 4, 1976","Disco, novelty",3:17,Fretone RSO,Rick Dees,Bobby Manuel,,
Love Is Here and Now You're Gone,the Supremes,"January 11, 1967","Pop
R&B",2:45,Motown – M 1103,Holland–Dozier–Holland,"Brian Holland
Lamont Dozier",,
American Woman,the Guess Who,March 1970,Blues rockhard rockpsychedelic rock,3:50,RCA Victor,Burton CummingsGarry PetersonJim KaleRandy Bachman,Jack Richardson,,
Wild Wild West (Will Smith song),"Will Smith, Dru Hill, Kool Moe Dee","May 11, 1999","Country rap
pop rap",4:05,"Overbrook
Columbia","Kool Moe Dee
Rob Fusari
Will Smith
Stevie Wonder","Rob Fusari
Mark Wilson",,
Everyday People,Sly and the Family Stone,November 1968,"Rock
pop
psychedelic soul",2:22,Epic 5-10407,Sly Stone,Sly Stone,,
We Built This City,Starship,"August 26, 1985","Dance-rock
synth-rock",4:49,"Grunt, RCA",Bernie TaupinMartin PageDennis LambertPeter Wolf,"Peter Wolf
Jeremy Smith",,
Womanizer (song),Britney Spears,"September 26, 2008",Electropopdance-pop,3:44,JiveZomba,The Outsyders,The Outsyders,,
These Boots Are Made for Walkin',Nancy Sinatra,"December 16, 1965","Pop
go-go
folk rock
country",2:40,Reprise,Lee Hazlewood[6],Lee Hazlewood[7],,
Breaking Up Is Hard to Do,Neil Sedaka,June 1962,"Brill Building, doo-wop",2:18,RCA Victor,"Neil Sedaka, Howard Greenfield",,,
Three Times a Lady,Commodores,"June 9, 1978","Pop
soft rock
adult contemporary
soul
R&B",3:36,Motown,Lionel Richie,James Anthony Carmichael & Commodores,,
