Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
21 Questions,"50 Cent, Nate Dogg","March 4, 2003 (2003-03-04)","Hip hop, R&B",3:44,"Interscope, Shady, Aftermath","Curtis Jackson, Nick Corrado, Kevin Risto, Jimmy Cameron, Vela M. Cameron",Dirty Swift
3 (Britney Spears song),Britney Spears,"September 29, 2009 (2009-09-29)","Electropop, dance-pop, [, 1, ]",3:33,Jive,,"Max Martin, Shellback"
4 Seasons of Loneliness,Boyz II Men,"September 8, 1997 (1997-09-08)[1]",,"4:52 (album version)
4:27 (radio edit)",Motown,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis
50 Ways to Leave Your Lover,Paul Simon,December 1975,,3:35,"Columbia, [, 1, ]",Paul Simon,"Paul Simon, Phil Ramone"
7 Rings,Ariana Grande,"January 18, 2019 (2019-01-18)","Trap, -, pop, hip hop, R&B",2:58,Republic,"Ariana Grande, Victoria Monét, Tayla Parx, Tommy Brown, Charles Anderson, Michael Foster, Njomza Vitia, Kimberly Krysiuk, Richard Rodgers, Oscar Hammerstein II","Tommy Brown, Charles Anderson, Michael Foster"
96 Tears,? and the Mysterians,August 1966 (1966),"Garage rock, [, 1, ], [, 2, ], [, 3, ], pop rock, [, 4, ], [, 5, ], psychedelic rock, [, 6, ]",2:56,"Pa-Go-Go, Cameo-Parkway",Rudy Martinez,Rudy Martinez
9 to 5 (Dolly Parton song),Dolly Parton,"November 3, 1980","Country pop, disco",2:43,RCA Nashville,Dolly Parton,Gregg Perry
9 to 5 (Sheena Easton song),Sheena Easton,"16 May 1980 (UK)[1]
February 1981 (1981-02) (US)","Pop, [, 2, ]",3:20,"EMI,  (original), RT Industries (current)",Florrie Palmer,Christopher Neil
ABC (The Jackson 5 song),The Jackson 5,"February 24, 1970 (U.S)","Bubblegum, -, soul, [, 2, ]","3:11 (single version)
2:54 (album version)
2:57 (radio edit)","Motown, M 1163","The Corporation, (, Berry Gordy, Freddie Perren, Alphonzo Mizell, and, Deke Richards, ), [, 3, ]",The Corporation
About Damn Time,Lizzo,"April 14, 2022 (2022-04-14)","Funk-pop, nu-disco, [, 1, ]",3:11,", Nice Life, 
, Atlantic,","Blake Slatkin, Eric Frederic, Larry Price, Malcolm McLaren, Melissa Jefferson, Ronald Larkins, Stephen Hague, Theron Makiel Thomas","Blake Slatkin, Ricky Reed"
Abracadabra (Steve Miller Band song),Steve Miller Band,May 1982,"Pop rock, electronic rock, funk rock",5:08 (album version)3:34 (single/video version),"Capitol,  (US/Canada), Mercury,  (international)",Steve Miller,"Steve Miller, Gary Mallaber"
Addicted to Love (song),Robert Palmer,January 1986[1],Dance-rock,"6:03 (album version)
4:04 (single version)",Island,Robert Palmer,Bernard Edwards
Africa (Toto song),Toto,"June 25, 1982 (UK)[1]
October 7, 1982 (US)[2]","Pop, [, 4, ], synth-pop, [, 5, ], soft rock, [, 6, ], [, 7, ], yacht rock, [, 8, ], [, 9, ]","4:55 (album version)
4:21 (single version)
4:35 (video version)",Columbia,,Toto
Afternoon Delight,Starland Vocal Band,April 1976,"Soft rock, [, 1, ], country rock, [, 2, ], folk-pop, [, 2, ]",3:12,", Windsong,  (US), 
, Windlands International (UK & Canada),","Bill Danoff, [, 3, ]",Milt Okun
Against All Odds (Take a Look at Me Now),Phil Collins,"February 1984 (US)
26 March 1984 (UK)[1]","Pop rock, [, 2, ], soft rock, [, 3, ]",3:23,Atlantic,Phil Collins,Arif Mardin
Again (Janet Jackson song),Janet Jackson,"October 12, 1993 (1993-10-12)",Pop,3:47,Virgin,"Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson"
Ain't It Funny (Murder Remix),"Jennifer Lopez, Ja Rule","January 7, 2002 (2002-01-07)","Hip hop, R&B",3:54,Epic,"Jennifer Lopez, Cory Rooney, Irving Lorenzo, Jeffrey Atkins, Tiheem Crocker, Ashanti Douglas, Craig Mack","Irv Gotti, 7, Cory Rooney"
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell","April 20, 1967","Pop, [, 1, ], soul, [, 1, ], [, 2, ], [, 3, ]",2:28,"Tamla,  (T-54149)","Nickolas Ashford, Valerie Simpson","Harvey Fuqua, Johnny Bristol"
Alley Oop (song),the Hollywood Argyles,May 1960,"Rock and roll, doo-wop, novelty",2:36,Lute 5905,Dallas Frazier,"Gary S. Paxton, Kim Fowley"
All 4 Love,Color Me Badd,"July 22, 1991 (1991-07-22)",New jack swing,3:30,"Giant, Reprise","Bryan Abrams, Mark Calderon, Steve Cropper, Isaac Hayes, Howard Thompson, Kevin Thornton, Sam Watters",Howie Tee
All About That Bass,Meghan Trainor,"June 30, 2014 (2014-06-30)","Bubblegum pop, doo-wop, pop rap",3:07,Epic,"Meghan Trainor, Kevin Kadish",Kevin Kadish
All for Love (song),"Bryan Adams, Rod Stewart, Sting","November 16, 1993 (1993-11-16)",Arena rock,4:45,", A&M, 
, Hollywood,","Bryan Adams, Robert ""Mutt"" Lange, Michael Kamen","Chris Thomas, David Nicholas, Bryan Adams"
All for You (Janet Jackson song),Janet Jackson,"March 6, 2001 (2001-03-06)","Dance-pop, R&B","6:31 (original/LP album version)
5:29 (CD album version)
4:24 (radio edit)
4:32 (video/single mix)",Virgin,"Janet Jackson, James Harris III, Terry Lewis, Wayne Garfield, David Romani, Mauro Malavasi","Janet Jackson, Jimmy Jam, Terry Lewis"
All I Have (song),"Jennifer Lopez, LL Cool J","December 14, 2002 (2002-12-14)","R&B, hip hop",4:14,Epic,"Jennifer Lopez, James Todd Smith, Makeba Riddick, Curtis Richardson, Ron G, Dave McPherson, Lisa Peters, William Jeffrey","Cory Rooney, Ron G, Dave McPherson"
All I Want for Christmas Is You,Mariah Carey,"October 29, 1994 (1994-10-29)","Christmas, pop, [, 1, ], pop soul, [, 2, ]",4:01,Columbia,"Mariah Carey, Walter Afanasieff","Walter Afanasieff, Mariah Carey"
All My Life (K-Ci & JoJo song),K-Ci & JoJo,"March 17, 1998 (1998-03-17)","R&B, soul",5:30 (album version)3:39 (radio edit),MCA,"Joel Hailey, Rory Bennett",K-Ci & JoJo
All Night Long (All Night),Lionel Richie,"August 31, 1983[1]","Reggae, [, 2, ], calypso, [, 3, ], dance-pop, [, 4, ]","4:20 (single version)
6:25 (album version)
3:49 (video version)",Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael"
All of Me (John Legend song),John Legend,"August 12, 2013","R&B, soul, pop",4:30 (album version)2:57 (radio edit),"GOOD, Columbia","John Stephens, Toby Gad","Dave Tozer, John Legend"
All the Man That I Need,Linda Clifford,,,4:11,,"Michael Gore, Dean Pitchford",
All Too Well,Taylor Swift,"October 22, 2012 (2012-10-22)","Country, rock, soft rock",5:29,Big Machine,"Taylor Swift, Liz Rose","Taylor Swift, Nathan Chapman"
All You Need Is Love,the Beatles,7 July 1967,"Pop, [, 1, ], psychedelia, [, 2, ], [, 3, ]",3:57,"Parlophone, , , Capitol",Lennon–McCartney,George Martin
Alone Again (Naturally),Gilbert O'Sullivan,18 February 1972 (UK)[1] May 1972 (US)[1],"Soft rock, [, 2, ], [, 3, ], pop, [, 4, ]",3:36,MAM,Gilbert O'Sullivan,Gordon Mills
Alone (i-Ten song),,June 1983,"Rock, AOR",3:58,Epic,"Billy Steinberg, Tom Kelly","Keith Olsen, Steve Lukather"
Always Be My Baby,Mariah Carey,"February 20, 1996 (1996-02-20)","Pop, R&B",4:18,Columbia,,"Mariah Carey, Jermaine Dupri"
Always on Time,"Ja Rule, Ashanti","November 27, 2001 (2001-11-27)",,4:05,", Def Jam, 
, Murder Inc.,","Jeffrey Atkins, 7 Aurelius, Irving Lorenzo",Irv Gotti
Always (Atlantic Starr song),Atlantic Starr,May 1987,"R&B, [, 1, ], pop, [, 2, ]",4:47 (album version)3:59 (single version),Warner Bros.,"David Lewis, Jonathan Lewis, Wayne Lewis","David Lewis, Wayne Lewis"
Amanda (Boston song),Boston,September 1986 (1986-09),Rock,,MCA,Tom Scholz,Tom Scholz
Amazed,Lonestar,"March 22, 1999 (1999-03-22)","Country, [, 1, ]",4:00 (album version)4:29 (pop remix)4:22 (2023 version),BNA,"Marv Green, Chris Lindsey, Aimee Mayo","Dann Huff, Brian Tankersley (remix)"
American Pie (song),Don McLean,"October 1971 (original)
November 1991 (re-release)","Folk rock, [, 1, ]","8:42 (LP)
4:11 (single part 1)
4:31 (single part 2)",United Artists,Don McLean,Ed Freeman
American Woman,the Guess Who,March 1970 (1970-03),"Blues rock, [, 1, ], hard rock, [, 2, ], psychedelic rock, [, 3, ]",3:50 (single version)5:07 (album version),RCA Victor,"Burton Cummings, Garry Peterson, Jim Kale, Randy Bachman",Jack Richardson
Angel of Mine,Eternal,29 September 1997 (1997-09-29),R&B,"4:21 (album version)
3:35 (single version)",", EMI, 
, 1st Avenue,","Rhett Lawrence, Travon Potts",Rhett Lawrence
Angel (Shaggy song),"Shaggy, Rayvon",9 January 2001 (2001-01-09),,"3:55 (album version)
3:31 (radio edit)",MCA,"Steve Miller, Ahmet Ertegun, Eddie Curtis, Chip Taylor","Shaun ""Sting"" Pizzonia"
Angie Baby,Helen Reddy,"October 7, 1974","R&B, [, 1, ], psychedelic pop, [, 2, ]",3:29,Capitol,Alan O'Day,Joe Wissert
Angie (song),The Rolling Stones,20 August 1973 (1973-08-20),"Soft rock, [, 1, ], glam rock, [, 2, ]",4:33,Rolling Stones,Jagger–Richards,Jimmy Miller
Annie's Song,John Denver,June 1974,"Country, [, 1, ]",2:58,RCA,John Denver,Milt Okun
Another Brick in the Wall,Pink Floyd,30 November 1979,"Art rock, disco, protest song","8:28 (All three parts)
3:11 (Part 1)
3:59 (Part 2)
1:18 (Part 3)",", Harvest,  (UK), 
, Columbia,  (US),",Roger Waters,"Bob Ezrin, David Gilmour, James Guthrie, Roger Waters"
