Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
ABC (The Jackson 5 song),,"February 24, 1970 (U.S)","Bubblegum, -, soul","3:11 (single version)
2:54 (album version)
2:57 (radio edit)","Motown, M 1163","The Corporation, (, Berry Gordy, Freddie Perren, Alphonzo Mizell, and, Deke Richards, ), [, 3, ]",The Corporation
About Damn Time,,"April 14, 2022 (2022-04-14)","Funk-pop, nu-disco",3:11,", Nice Life, 
, Atlantic,","Blake Slatkin, Eric Frederic, Larry Price, Malcolm McLaren, Melissa Jefferson, Ronald Larkins, Stephen Hague, Theron Makiel Thomas","Blake Slatkin, Ricky Reed"
Abracadabra (Steve Miller Band song),,May 1982,"Pop rock, electronic rock, funk rock",5:08 (album version)3:34 (single/video version),"Capitol,  , Mercury,",Steve Miller,"Steve Miller, Gary Mallaber"
Addicted to Love (song),,January 1986,Dance-rock,"6:03 (album version)
4:04 (single version)",Island,Robert Palmer,Bernard Edwards
Africa (Toto song),,"June 25, 1982 (UK)
October 7, 1982 (US)","Pop, synth-pop, soft rock, yacht rock","4:55 (album version)
4:21 (single version)
4:35 (video version)",Columbia,,Toto
Afternoon Delight,,April 1976,"Soft rock, country rock, folk-pop",3:12,", Windsong,  , 
, Windlands International ,","Bill Danoff, [, 3, ]",Milt Okun
Again (Janet Jackson song),,"October 12, 1993 (1993-10-12)",Pop,3:47,Virgin,"Janet Jackson, James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson"
Against All Odds (Take a Look at Me Now),,"February 1984 (US)
26 March 1984 (UK)","Pop rock, soft rock",3:23,Atlantic,Phil Collins,Arif Mardin
Ain't It Funny (Murder Remix),,"January 7, 2002 (2002-01-07)","Hip hop, R&B",3:54,Epic,"Jennifer Lopez, Cory Rooney, Irving Lorenzo, Jeffrey Atkins, Tiheem Crocker, Ashanti Douglas, Craig Mack","Irv Gotti, 7, Cory Rooney"
Ain't No Mountain High Enough,,"April 20, 1967","Pop, soul",2:28,"Tamla,","Nickolas Ashford, Valerie Simpson","Harvey Fuqua, Johnny Bristol"
All 4 Love,,"July 22, 1991 (1991-07-22)",New jack swing,3:30,"Giant, Reprise","Bryan Abrams, Mark Calderon, Steve Cropper, Isaac Hayes, Howard Thompson, Kevin Thornton, Sam Watters",Howie Tee
All About That Bass,,"June 30, 2014 (2014-06-30)","Bubblegum pop, doo-wop, pop rap",3:07,Epic,"Meghan Trainor, Kevin Kadish",Kevin Kadish
All for Love (song),,"November 16, 1993 (1993-11-16)",Arena rock,4:45,", A&M, 
, Hollywood,","Bryan Adams, Robert ""Mutt"" Lange, Michael Kamen","Chris Thomas, David Nicholas, Bryan Adams"
All for You (Janet Jackson song),,"March 6, 2001 (2001-03-06)","Dance-pop, R&B","6:31 (original/LP album version)
5:29 (CD album version)
4:24 (radio edit)
4:32 (video/single mix)",Virgin,"Janet Jackson, James Harris III, Terry Lewis, Wayne Garfield, David Romani, Mauro Malavasi","Janet Jackson, Jimmy Jam, Terry Lewis"
All I Have (song),,"December 14, 2002 (2002-12-14)","R&B, hip hop",4:14,Epic,"Jennifer Lopez, James Todd Smith, Makeba Riddick, Curtis Richardson, Ron G, Dave McPherson, Lisa Peters, William Jeffrey","Cory Rooney, Ron G, Dave McPherson"
All I Want for Christmas Is You,,"October 29, 1994 (1994-10-29)","Christmas, pop, pop soul",4:01,Columbia,"Mariah Carey, Walter Afanasieff","Walter Afanasieff, Mariah Carey"
All My Life (K-Ci & JoJo song),,"March 17, 1998 (1998-03-17)","R&B, soul",5:30 (album version)3:39 (radio edit),MCA,"Joel Hailey, Rory Bennett",K-Ci & JoJo
All Night Long (All Night),,"August 31, 1983","Reggae, calypso, dance-pop","4:20 (single version)
6:25 (album version)
3:49 (video version)",Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael"
All of Me (John Legend song),,"August 12, 2013","R&B, soul, pop",4:30 (album version)2:57 (radio edit),"GOOD, Columbia","John Stephens, Toby Gad","Dave Tozer, John Legend"
All the Man That I Need,,,,4:11,,"Michael Gore, Dean Pitchford",
